,0
20,"POLYGON ((-93.23713211985928 44.97022082302882, -93.2371321198593 44.97022082302882, -93.2371321198593 44.97022082302883, -93.2371321198593 44.97696572575677, -93.2371321198593 44.97696572575678, -93.23713211985928 44.97696572575678, -93.23395879269549 44.97696572575678, -93.23395879269547 44.97696572575678, -93.23395879269547 44.97696572575677, -93.23395879269547 44.97022082302883, -93.23395879269547 44.97022082302882, -93.23395879269549 44.97022082302882, -93.23713211985928 44.97022082302882))"
21,"POLYGON ((-93.27838537298861 44.9657242212102, -93.27838537298862 44.9657242212102, -93.27838537298862 44.96572422121021, -93.27838537298862 44.97022082302883, -93.27838537298862 44.97022082302884, -93.27838537298861 44.97022082302884, -93.27521204582482 44.97022082302884, -93.2752120458248 44.97022082302884, -93.2752120458248 44.97022082302883, -93.2752120458248 44.96572422121021, -93.2752120458248 44.9657242212102, -93.27521204582482 44.9657242212102, -93.27838537298861 44.9657242212102))"
22,"POLYGON ((-93.27838537298861 44.95223441575433, -93.27838537298862 44.95223441575433, -93.27838537298862 44.95223441575434, -93.27838537298862 44.95448271666364, -93.28155870015239 44.95448271666364, -93.2815587001524 44.95448271666364, -93.2815587001524 44.95448271666365, -93.2815587001524 44.95673101757296, -93.2815587001524 44.95673101757297, -93.28155870015239 44.95673101757297, -93.27521204582482 44.95673101757297, -93.2752120458248 44.95673101757297, -93.2752120458248 44.95673101757296, -93.2752120458248 44.95223441575434, -93.2752120458248 44.95223441575433, -93.27521204582482 44.95223441575433, -93.27838537298861 44.95223441575433))"
23,"POLYGON ((-93.2847320273162 44.9657242212102, -93.28473202731621 44.9657242212102, -93.28473202731621 44.96572422121021, -93.28473202731621 44.96797252211951, -93.28790535447997 44.96797252211951, -93.28790535447999 44.96797252211951, -93.28790535447999 44.96797252211952, -93.28790535447999 44.97022082302883, -93.28790535447999 44.97022082302884, -93.28790535447997 44.97022082302884, -93.2815587001524 44.97022082302884, -93.28155870015239 44.97022082302884, -93.28155870015239 44.97022082302883, -93.28155870015239 44.96572422121021, -93.28155870015239 44.9657242212102, -93.2815587001524 44.9657242212102, -93.2847320273162 44.9657242212102))"
24,"POLYGON ((-93.27203871866102 44.97696572575676, -93.27203871866104 44.97696572575676, -93.27203871866104 44.97696572575676, -93.27203871866104 44.97921402666608, -93.27203871866104 44.97921402666609, -93.27203871866102 44.97921402666609, -93.26886539149723 44.97921402666609, -93.26886539149722 44.97921402666609, -93.26886539149722 44.97921402666608, -93.26886539149722 44.97696572575676, -93.26886539149722 44.97696572575676, -93.26886539149723 44.97696572575676, -93.27203871866102 44.97696572575676))"
25,"POLYGON ((-93.26569206433344 44.97921402666607, -93.26569206433345 44.97921402666607, -93.26569206433345 44.97921402666608, -93.26569206433345 44.98146232757539, -93.26569206433345 44.9814623275754, -93.26569206433344 44.9814623275754, -93.26251873716964 44.9814623275754, -93.26251873716963 44.9814623275754, -93.26251873716963 44.98146232757539, -93.26251873716963 44.97921402666608, -93.26251873716963 44.97921402666607, -93.26251873716964 44.97921402666607, -93.26569206433344 44.97921402666607))"
26,"POLYGON ((-93.24982542851446 44.97022082302882, -93.24982542851447 44.97022082302882, -93.24982542851447 44.97022082302883, -93.24982542851447 44.97471742484746, -93.24982542851447 44.97471742484746, -93.24982542851446 44.97471742484746, -93.24347877418688 44.97471742484746, -93.24347877418687 44.97471742484746, -93.24347877418687 44.97471742484746, -93.24347877418687 44.97246912393814, -93.24347877418687 44.97246912393813, -93.24347877418688 44.97246912393813, -93.24665210135065 44.97246912393813, -93.24665210135065 44.97022082302883, -93.24665210135065 44.97022082302882, -93.24665210135066 44.97022082302882, -93.24982542851446 44.97022082302882))"
27,"POLYGON ((-93.28790535447997 44.97246912393813, -93.28790535447999 44.97246912393813, -93.28790535447999 44.97246912393814, -93.28790535447999 44.97471742484746, -93.28790535447999 44.97471742484746, -93.28790535447997 44.97471742484746, -93.28473202731621 44.97471742484746, -93.28473202731621 44.97696572575677, -93.28473202731621 44.97696572575678, -93.2847320273162 44.97696572575678, -93.2815587001524 44.97696572575678, -93.28155870015239 44.97696572575678, -93.28155870015239 44.97696572575677, -93.28155870015239 44.97246912393814, -93.28155870015239 44.97246912393813, -93.2815587001524 44.97246912393813, -93.28790535447997 44.97246912393813))"
28,"POLYGON ((-93.29107868164378 44.95897931848226, -93.2910786816438 44.95897931848226, -93.2910786816438 44.95897931848227, -93.2910786816438 44.96122761939158, -93.29425200880756 44.96122761939158, -93.29425200880758 44.96122761939158, -93.29425200880758 44.96122761939159, -93.29425200880758 44.9634759203009, -93.29425200880758 44.96347592030091, -93.29425200880756 44.96347592030091, -93.28790535447999 44.96347592030091, -93.28790535447997 44.96347592030091, -93.28790535447997 44.9634759203009, -93.28790535447997 44.95897931848227, -93.28790535447997 44.95897931848226, -93.28790535447999 44.95897931848226, -93.29107868164378 44.95897931848226))"
29,"POLYGON ((-93.26251873716963 44.97471742484745, -93.26251873716964 44.97471742484745, -93.26251873716964 44.97471742484746, -93.26251873716964 44.97696572575677, -93.26251873716964 44.97696572575678, -93.26251873716963 44.97696572575678, -93.25934541000584 44.97696572575678, -93.25934541000582 44.97696572575678, -93.25934541000582 44.97696572575677, -93.25934541000582 44.97471742484746, -93.25934541000582 44.97471742484745, -93.25934541000584 44.97471742484745, -93.26251873716963 44.97471742484745))"
