start_grid,start_basegrid_idx,0,1
55,2,POINT (-93.29901199955326 44.9915796816673),0.4838709677419355
55,3,POINT (-93.29901199955326 44.9938279825766),0.7741935483870968
56,0,POINT (-93.30218532671707 44.99607628348592),0.25806451612903225
56,1,POINT (-93.30218532671707 44.99832458439523),0.5483870967741935
56,2,POINT (-93.29901199955326 44.99607628348592),0.5483870967741935
56,3,POINT (-93.29901199955326 44.99832458439523),0.9032258064516129
57,0,POINT (-93.30218532671707 45.00057288530454),1.2903225806451613
57,1,POINT (-93.30218532671707 45.00282118621385),0.0967741935483871
57,2,POINT (-93.29901199955326 45.00057288530454),0.06451612903225806
57,3,POINT (-93.29901199955326 45.00282118621385),0.16129032258064516
58,0,POINT (-93.30218532671707 45.00506948712316),0.3548387096774194
58,1,POINT (-93.30218532671707 45.00731778803247),0.03225806451612903
58,2,POINT (-93.29901199955326 45.00506948712316),0.12903225806451613
58,3,POINT (-93.29901199955326 45.00731778803247),0.0
59,0,POINT (-93.30218532671707 45.00956608894178),0.03225806451612903
59,1,POINT (-93.30218532671707 45.0118143898511),0.06451612903225806
59,2,POINT (-93.29901199955326 45.00956608894178),0.41935483870967744
59,3,POINT (-93.29901199955326 45.0118143898511),0.12903225806451613
60,0,POINT (-93.30218532671707 45.01406269076041),0.16129032258064516
60,1,POINT (-93.30218532671707 45.01631099166972),0.22580645161290322
60,2,POINT (-93.29901199955326 45.01406269076041),0.5161290322580645
60,3,POINT (-93.29901199955326 45.01631099166972),0.0
61,0,POINT (-93.30218532671707 45.01855929257903),0.06451612903225806
61,1,POINT (-93.30218532671707 45.02080759348834),0.03225806451612903
61,2,POINT (-93.29901199955326 45.01855929257903),0.0967741935483871
61,3,POINT (-93.29901199955326 45.02080759348834),0.0
62,0,POINT (-93.30218532671707 45.02305589439765),0.0
62,1,POINT (-93.30218532671707 45.02530419530696),0.0
62,2,POINT (-93.29901199955326 45.02305589439765),0.16129032258064516
62,3,POINT (-93.29901199955326 45.02530419530696),0.0
63,0,POINT (-93.30218532671707 45.0320490980349),0.0
63,1,POINT (-93.30218532671707 45.03429739894421),0.06451612903225806
63,2,POINT (-93.29901199955326 45.0320490980349),0.0
63,3,POINT (-93.29901199955326 45.03429739894421),0.0
64,0,POINT (-93.29583867238946 44.91963405256933),0.0
64,1,POINT (-93.29583867238946 44.92188235347863),0.06451612903225806
64,2,POINT (-93.29266534522566 44.91963405256933),0.0
64,3,POINT (-93.29266534522566 44.92188235347863),0.0
65,0,POINT (-93.29583867238946 44.92862725620657),0.5806451612903226
65,1,POINT (-93.29583867238946 44.93087555711588),0.0
65,2,POINT (-93.29266534522566 44.92862725620657),0.0
65,3,POINT (-93.29266534522566 44.93087555711588),0.0
66,0,POINT (-93.29583867238946 44.9331238580252),0.0
66,1,POINT (-93.29583867238946 44.9353721589345),0.0
66,2,POINT (-93.29266534522566 44.9331238580252),0.0
66,3,POINT (-93.29266534522566 44.9353721589345),0.25806451612903225
67,0,POINT (-93.29583867238946 44.93762045984381),0.03225806451612903
67,1,POINT (-93.29583867238946 44.93986876075313),1.032258064516129
67,2,POINT (-93.29266534522566 44.93762045984381),0.45161290322580644
67,3,POINT (-93.29266534522566 44.93986876075313),1.6129032258064515
68,0,POINT (-93.29583867238946 44.94211706166244),0.1935483870967742
68,1,POINT (-93.29583867238946 44.94436536257175),0.5483870967741935
68,2,POINT (-93.29266534522566 44.94211706166244),0.22580645161290322
68,3,POINT (-93.29266534522566 44.94436536257175),0.29032258064516125
69,0,POINT (-93.29583867238946 44.94661366348106),1.032258064516129
69,1,POINT (-93.29583867238946 44.94886196439037),8.548387096774194
69,2,POINT (-93.29266534522566 44.94661366348106),0.6451612903225807
69,3,POINT (-93.29266534522566 44.94886196439037),4.967741935483871
70,0,POINT (-93.29583867238946 44.95111026529968),3.096774193548387
70,1,POINT (-93.29583867238946 44.95335856620899),3.064516129032258
70,2,POINT (-93.29266534522566 44.95111026529968),1.870967741935484
70,3,POINT (-93.29266534522566 44.95335856620899),0.967741935483871
71,0,POINT (-93.29583867238946 44.95560686711831),3.935483870967742
71,1,POINT (-93.29583867238946 44.95785516802761),4.161290322580645
71,2,POINT (-93.29266534522566 44.95560686711831),0.7096774193548387
71,3,POINT (-93.29266534522566 44.95785516802761),0.22580645161290322
72,0,POINT (-93.29583867238946 44.96010346893694),1.3870967741935485
72,1,POINT (-93.29583867238946 44.96235176984624),0.0967741935483871
72,2,POINT (-93.29266534522566 44.96010346893694),2.6129032258064515
72,3,POINT (-93.29266534522566 44.96235176984624),3.67741935483871
73,0,POINT (-93.29583867238946 44.96460007075555),0.06451612903225806
73,1,POINT (-93.29583867238946 44.96684837166487),0.0
73,2,POINT (-93.29266534522566 44.96460007075555),1.5806451612903225
73,3,POINT (-93.29266534522566 44.96684837166487),0.4838709677419355
74,0,POINT (-93.29583867238946 44.96909667257417),0.0
74,1,POINT (-93.29583867238946 44.97134497348349),0.0
74,2,POINT (-93.29266534522566 44.96909667257417),0.03225806451612903
74,3,POINT (-93.29266534522566 44.97134497348349),0.0
75,0,POINT (-93.29583867238946 44.97808987621143),0.5806451612903226
75,1,POINT (-93.29583867238946 44.98033817712074),0.3870967741935484
75,2,POINT (-93.29266534522566 44.97808987621143),0.06451612903225806
75,3,POINT (-93.29266534522566 44.98033817712074),0.0
76,0,POINT (-93.29583867238946 44.98258647803005),0.0
76,1,POINT (-93.29583867238946 44.98483477893936),0.5483870967741935
76,2,POINT (-93.29266534522566 44.98258647803005),0.0
76,3,POINT (-93.29266534522566 44.98483477893936),0.16129032258064516
77,0,POINT (-93.29583867238946 44.98708307984867),0.0
77,1,POINT (-93.29583867238946 44.98933138075797),0.0
77,2,POINT (-93.29266534522566 44.98708307984867),0.03225806451612903
77,3,POINT (-93.29266534522566 44.98933138075797),0.0
78,0,POINT (-93.29583867238946 44.9915796816673),0.6451612903225807
78,1,POINT (-93.29583867238946 44.9938279825766),0.4516129032258065
78,2,POINT (-93.29266534522566 44.9915796816673),0.7741935483870968
78,3,POINT (-93.29266534522566 44.9938279825766),0.0
79,0,POINT (-93.29583867238946 44.99607628348592),0.0
79,1,POINT (-93.29583867238946 44.99832458439523),3.2580645161290325
79,2,POINT (-93.29266534522566 44.99607628348592),0.16129032258064516
79,3,POINT (-93.29266534522566 44.99832458439523),0.8387096774193549
80,0,POINT (-93.29583867238946 45.00057288530454),2.193548387096774
80,1,POINT (-93.29583867238946 45.00282118621385),0.0
80,2,POINT (-93.29266534522566 45.00057288530454),0.4838709677419355
80,3,POINT (-93.29266534522566 45.00282118621385),0.06451612903225806
81,0,POINT (-93.29583867238946 45.00506948712316),0.03225806451612903
81,1,POINT (-93.29583867238946 45.00731778803247),0.4838709677419355
81,2,POINT (-93.29266534522566 45.00506948712316),0.32258064516129026
81,3,POINT (-93.29266534522566 45.00731778803247),0.0
82,0,POINT (-93.29583867238946 45.00956608894178),1.0
82,1,POINT (-93.29583867238946 45.0118143898511),0.22580645161290322
82,2,POINT (-93.29266534522566 45.00956608894178),0.29032258064516125
82,3,POINT (-93.29266534522566 45.0118143898511),0.12903225806451613
83,0,POINT (-93.29583867238946 45.01406269076041),0.5806451612903225
83,1,POINT (-93.29583867238946 45.01631099166972),0.03225806451612903
83,2,POINT (-93.29266534522566 45.01406269076041),0.9354838709677419
83,3,POINT (-93.29266534522566 45.01631099166972),0.3870967741935484
84,0,POINT (-93.29583867238946 45.01855929257903),0.0
84,1,POINT (-93.29583867238946 45.02080759348834),0.29032258064516125
84,2,POINT (-93.29266534522566 45.01855929257903),0.25806451612903225
84,3,POINT (-93.29266534522566 45.02080759348834),0.12903225806451613
85,0,POINT (-93.29583867238946 45.02305589439765),0.0967741935483871
85,1,POINT (-93.29583867238946 45.02530419530696),0.03225806451612903
85,2,POINT (-93.29266534522566 45.02305589439765),0.0
85,3,POINT (-93.29266534522566 45.02530419530696),0.0
86,0,POINT (-93.29583867238946 45.02755249621628),0.0
