,0
31,"POLYGON ((-94.59248526656877 39.07876688360907, -94.59248526656879 39.07876688360907, -94.59248526656879 39.07876688360908, -94.59248526656879 39.08101518451839, -94.59248526656879 39.0810151845184, -94.59248526656877 39.0810151845184, -94.58959938001937 39.0810151845184, -94.58959938001937 39.08326348542769, -94.58959938001937 39.0832634854277, -94.58959938001935 39.0832634854277, -94.58671349346993 39.0832634854277, -94.58671349346992 39.0832634854277, -94.58671349346992 39.08326348542769, -94.58671349346992 39.0810151845184, -94.58382760692051 39.0810151845184, -94.58382760692049 39.0810151845184, -94.58382760692049 39.08101518451839, -94.58382760692049 39.07876688360908, -94.58382760692049 39.07876688360907, -94.58382760692051 39.07876688360907, -94.59248526656877 39.07876688360907))"
32,"POLYGON ((-94.58094172037109 39.09675329088353, -94.5809417203711 39.09675329088353, -94.5809417203711 39.09675329088354, -94.5809417203711 39.10124989270216, -94.5809417203711 39.10124989270216, -94.58094172037109 39.10124989270216, -94.57805583382167 39.10124989270216, -94.57805583382165 39.10124989270216, -94.57805583382165 39.10124989270216, -94.57805583382165 39.09675329088354, -94.57805583382165 39.09675329088353, -94.57805583382167 39.09675329088353, -94.58094172037109 39.09675329088353))"
33,"POLYGON ((-94.58959938001935 39.10574649452077, -94.58959938001937 39.10574649452077, -94.58959938001937 39.10574649452077, -94.58959938001937 39.10799479543009, -94.58959938001937 39.10799479543009, -94.58959938001935 39.10799479543009, -94.58382760692051 39.10799479543009, -94.58382760692049 39.10799479543009, -94.58382760692049 39.10799479543009, -94.58382760692049 39.10574649452077, -94.58382760692049 39.10574649452077, -94.58382760692051 39.10574649452077, -94.58959938001935 39.10574649452077))"
34,"POLYGON ((-94.57228406072282 39.114739698158, -94.57228406072284 39.114739698158, -94.57228406072284 39.114739698158, -94.57228406072284 39.1169879990673, -94.57516994727224 39.1169879990673, -94.57516994727226 39.1169879990673, -94.57516994727226 39.11698799906731, -94.57516994727226 39.11923629997662, -94.57516994727226 39.11923629997663, -94.57516994727224 39.11923629997663, -94.57228406072284 39.11923629997663, -94.57228406072284 39.12148460088594, -94.57228406072284 39.12148460088594, -94.57228406072282 39.12148460088594, -94.5693981741734 39.12148460088594, -94.56939817417339 39.12148460088594, -94.56939817417339 39.12148460088594, -94.56939817417339 39.11923629997663, -94.56651228762398 39.11923629997663, -94.56651228762396 39.11923629997663, -94.56651228762396 39.11923629997662, -94.56651228762396 39.11698799906731, -94.56651228762396 39.1169879990673, -94.56651228762398 39.1169879990673, -94.56939817417339 39.1169879990673, -94.56939817417339 39.114739698158, -94.56939817417339 39.114739698158, -94.5693981741734 39.114739698158, -94.57228406072282 39.114739698158))"
35,"POLYGON ((-94.58959938001935 39.07427028179045, -94.58959938001937 39.07427028179045, -94.58959938001937 39.07427028179046, -94.58959938001937 39.07651858269976, -94.59248526656877 39.07651858269976, -94.59248526656879 39.07651858269976, -94.59248526656879 39.07651858269976, -94.59248526656879 39.07876688360908, -94.59248526656879 39.07876688360908, -94.59248526656877 39.07876688360908, -94.58382760692051 39.07876688360908, -94.58382760692049 39.07876688360908, -94.58382760692049 39.07876688360908, -94.58382760692049 39.07651858269976, -94.58382760692049 39.07651858269976, -94.58382760692051 39.07651858269976, -94.58671349346992 39.07651858269976, -94.58671349346992 39.07427028179046, -94.58671349346992 39.07427028179045, -94.58671349346993 39.07427028179045, -94.58959938001935 39.07427028179045))"
36,"POLYGON ((-94.59825703966762 39.08326348542769, -94.59825703966763 39.08326348542769, -94.59825703966763 39.08326348542769, -94.59825703966763 39.08551178633701, -94.59825703966763 39.08551178633702, -94.59825703966762 39.08551178633702, -94.59537115311821 39.08551178633702, -94.59537115311821 39.08776008724631, -94.59537115311821 39.08776008724632, -94.59537115311819 39.08776008724632, -94.59248526656877 39.08776008724632, -94.59248526656876 39.08776008724632, -94.59248526656876 39.08776008724631, -94.59248526656876 39.08326348542769, -94.59248526656876 39.08326348542769, -94.59248526656877 39.08326348542769, -94.59825703966762 39.08326348542769))"
37,"POLYGON ((-94.58382760692051 39.08551178633699, -94.58382760692052 39.08551178633699, -94.58382760692052 39.08551178633699, -94.58382760692052 39.08776008724631, -94.58382760692052 39.08776008724632, -94.58382760692051 39.08776008724632, -94.57805583382167 39.08776008724632, -94.57805583382165 39.08776008724632, -94.57805583382165 39.08776008724631, -94.57805583382165 39.08551178633699, -94.57805583382165 39.08551178633699, -94.57805583382167 39.08551178633699, -94.58382760692051 39.08551178633699))"
38,"POLYGON ((-94.58094172037109 39.10124989270215, -94.5809417203711 39.10124989270215, -94.5809417203711 39.10124989270216, -94.5809417203711 39.10349819361147, -94.5809417203711 39.10349819361148, -94.58094172037109 39.10349819361148, -94.57516994727224 39.10349819361148, -94.57516994727223 39.10349819361148, -94.57516994727223 39.10349819361147, -94.57516994727223 39.10124989270216, -94.57516994727223 39.10124989270215, -94.57516994727224 39.10124989270215, -94.58094172037109 39.10124989270215))"
39,"POLYGON ((-94.58959938001935 39.09450498997422, -94.58959938001937 39.09450498997422, -94.58959938001937 39.09450498997423, -94.58959938001937 39.09675329088354, -94.58959938001937 39.09675329088355, -94.58959938001935 39.09675329088355, -94.57805583382167 39.09675329088355, -94.57805583382165 39.09675329088355, -94.57805583382165 39.09675329088354, -94.57805583382165 39.09450498997423, -94.57805583382165 39.09450498997422, -94.57805583382167 39.09450498997422, -94.58959938001935 39.09450498997422))"
40,"POLYGON ((-94.59248526656877 39.09675329088353, -94.59248526656879 39.09675329088353, -94.59248526656879 39.09675329088354, -94.59248526656879 39.09900159179283, -94.59537115311819 39.09900159179283, -94.59537115311821 39.09900159179283, -94.59537115311821 39.09900159179284, -94.59537115311821 39.10124989270216, -94.59537115311821 39.10124989270216, -94.59537115311819 39.10124989270216, -94.58959938001935 39.10124989270216, -94.58959938001934 39.10124989270216, -94.58959938001934 39.10124989270216, -94.58959938001934 39.09675329088354, -94.58959938001934 39.09675329088353, -94.58959938001935 39.09675329088353, -94.59248526656877 39.09675329088353))"
41,"POLYGON ((-94.58382760692051 39.10799479543007, -94.58382760692052 39.10799479543007, -94.58382760692052 39.10799479543007, -94.58382760692052 39.11024309633939, -94.58382760692052 39.1102430963394, -94.58382760692051 39.1102430963394, -94.57516994727224 39.1102430963394, -94.57516994727223 39.1102430963394, -94.57516994727223 39.11024309633939, -94.57516994727223 39.10799479543007, -94.57516994727223 39.10799479543007, -94.57516994727224 39.10799479543007, -94.58382760692051 39.10799479543007))"
42,"POLYGON ((-94.59248526656877 39.03604916633221, -94.59248526656879 39.03604916633221, -94.59248526656879 39.03604916633222, -94.59248526656879 39.04054576815085, -94.59248526656879 39.04054576815086, -94.59248526656877 39.04054576815086, -94.58671349346993 39.04054576815086, -94.58671349346992 39.04054576815086, -94.58671349346992 39.04054576815085, -94.58671349346992 39.03829746724153, -94.58671349346992 39.03829746724153, -94.58671349346993 39.03829746724153, -94.58959938001934 39.03829746724153, -94.58959938001934 39.03604916633222, -94.58959938001934 39.03604916633221, -94.58959938001935 39.03604916633221, -94.59248526656877 39.03604916633221))"
43,"POLYGON ((-94.59248526656877 39.10799479543007, -94.59248526656879 39.10799479543007, -94.59248526656879 39.10799479543007, -94.59248526656879 39.11024309633939, -94.59248526656879 39.1102430963394, -94.59248526656877 39.1102430963394, -94.58959938001937 39.1102430963394, -94.58959938001937 39.1124913972487, -94.58959938001937 39.11249139724871, -94.58959938001935 39.11249139724871, -94.58671349346993 39.11249139724871, -94.58671349346992 39.11249139724871, -94.58671349346992 39.1124913972487, -94.58671349346992 39.10799479543007, -94.58671349346992 39.10799479543007, -94.58671349346993 39.10799479543007, -94.59248526656877 39.10799479543007))"
44,"POLYGON ((-94.58382760692051 39.10349819361145, -94.58382760692052 39.10349819361145, -94.58382760692052 39.10349819361146, -94.58382760692052 39.10574649452077, -94.58382760692052 39.10574649452078, -94.58382760692051 39.10574649452078, -94.58094172037109 39.10574649452078, -94.58094172037107 39.10574649452078, -94.58094172037107 39.10574649452077, -94.58094172037107 39.10349819361146, -94.58094172037107 39.10349819361145, -94.58094172037109 39.10349819361145, -94.58382760692051 39.10349819361145))"
