,0
26,"POLYGON ((-93.2736253822429 44.9837106284847, -93.2752120458248 44.9837106284847, -93.2752120458248 44.98483477893936, -93.2752120458248 44.98595892939402, -93.2736253822429 44.98595892939402, -93.27203871866101 44.98595892939402, -93.27203871866101 44.98483477893936, -93.27203871866101 44.9837106284847, -93.2736253822429 44.9837106284847))"
27,"POLYGON ((-93.26727872791531 44.9837106284847, -93.26886539149722 44.9837106284847, -93.26886539149722 44.98483477893936, -93.26886539149722 44.98595892939401, -93.26886539149722 44.98595892939402, -93.26886539149722 44.98708307984867, -93.26886539149722 44.98820723030332, -93.26727872791531 44.98820723030332, -93.26569206433342 44.98820723030332, -93.26569206433342 44.98708307984867, -93.26569206433342 44.98595892939402, -93.26410540075153 44.98595892939402, -93.26251873716964 44.98595892939402, -93.26251873716964 44.98483477893936, -93.26251873716964 44.9837106284847, -93.26410540075153 44.9837106284847, -93.26569206433342 44.9837106284847, -93.26569206433344 44.9837106284847, -93.26727872791531 44.9837106284847))"
28,"POLYGON ((-93.24823876493255 44.95448271666365, -93.24982542851446 44.95448271666365, -93.24982542851446 44.95560686711831, -93.24982542851446 44.95673101757296, -93.24982542851446 44.95785516802762, -93.24982542851446 44.95897931848228, -93.24823876493255 44.95897931848228, -93.24665210135068 44.95897931848228, -93.24665210135066 44.95897931848228, -93.24506543776877 44.95897931848228, -93.24347877418688 44.95897931848228, -93.24347877418688 44.95785516802762, -93.24347877418688 44.95673101757296, -93.24506543776877 44.95673101757296, -93.24665210135066 44.95673101757296, -93.24665210135066 44.95560686711831, -93.24665210135066 44.95448271666365, -93.24823876493255 44.95448271666365))"
29,"POLYGON ((-93.26093207358772 44.97471742484746, -93.26251873716963 44.97471742484746, -93.26251873716963 44.97584157530211, -93.26251873716963 44.97696572575677, -93.26093207358772 44.97696572575677, -93.25934541000584 44.97696572575677, -93.25934541000584 44.97584157530211, -93.25934541000584 44.97471742484746, -93.26093207358772 44.97471742484746))"
30,"POLYGON ((-93.26410540075153 44.97246912393814, -93.26569206433344 44.97246912393814, -93.26569206433344 44.9735932743928, -93.26569206433344 44.97471742484746, -93.26410540075153 44.97471742484746, -93.26251873716964 44.97471742484746, -93.26251873716964 44.9735932743928, -93.26251873716964 44.97246912393814, -93.26410540075153 44.97246912393814))"
31,"POLYGON ((-93.26727872791531 44.98146232757539, -93.26886539149722 44.98146232757539, -93.26886539149722 44.98258647803004, -93.26886539149722 44.9837106284847, -93.26727872791531 44.9837106284847, -93.26569206433344 44.9837106284847, -93.26569206433342 44.9837106284847, -93.26410540075153 44.9837106284847, -93.26251873716964 44.9837106284847, -93.26251873716964 44.98258647803004, -93.26251873716964 44.98146232757539, -93.26410540075153 44.98146232757539, -93.26569206433342 44.98146232757539, -93.26569206433344 44.98146232757539, -93.26727872791531 44.98146232757539))"
32,"POLYGON ((-93.26093207358772 44.97921402666608, -93.26251873716963 44.97921402666608, -93.26251873716963 44.98033817712074, -93.26251873716963 44.98146232757539, -93.26251873716963 44.98146232757539, -93.26251873716963 44.98258647803004, -93.26251873716963 44.9837106284847, -93.26093207358772 44.9837106284847, -93.25934541000584 44.9837106284847, -93.25934541000584 44.98258647803004, -93.25934541000584 44.98146232757539, -93.25934541000584 44.98146232757539, -93.25934541000584 44.98033817712074, -93.25934541000584 44.97921402666608, -93.26093207358772 44.97921402666608))"
33,"POLYGON ((-93.25775874642395 44.9837106284847, -93.25934541000585 44.9837106284847, -93.25934541000585 44.98483477893936, -93.25934541000585 44.98595892939401, -93.26093207358772 44.98595892939401, -93.26251873716963 44.98595892939401, -93.26251873716963 44.98708307984867, -93.26251873716963 44.98820723030332, -93.26093207358772 44.98820723030332, -93.25934541000585 44.98820723030332, -93.25934541000584 44.98820723030332, -93.25775874642395 44.98820723030332, -93.25617208284206 44.98820723030332, -93.25617208284206 44.98708307984867, -93.25617208284206 44.98595892939402, -93.25617208284206 44.98595892939401, -93.25617208284206 44.98483477893936, -93.25617208284206 44.9837106284847, -93.25775874642395 44.9837106284847))"
34,"POLYGON ((-93.25458541926014 44.98820723030332, -93.25617208284204 44.98820723030332, -93.25617208284204 44.98933138075798, -93.25617208284204 44.99045553121263, -93.25617208284204 44.99045553121264, -93.25617208284204 44.99157968166729, -93.25617208284204 44.99270383212195, -93.25458541926014 44.99270383212195, -93.25299875567825 44.99270383212195, -93.25299875567825 44.99157968166729, -93.25299875567825 44.99045553121264, -93.25141209209636 44.99045553121264, -93.24982542851447 44.99045553121264, -93.24982542851447 44.98933138075798, -93.24982542851447 44.98820723030332, -93.25141209209636 44.98820723030332, -93.25299875567825 44.98820723030332, -93.25299875567826 44.98820723030332, -93.25458541926014 44.98820723030332))"
35,"POLYGON ((-93.24823876493255 44.97022082302883, -93.24982542851446 44.97022082302883, -93.24982542851446 44.97134497348349, -93.24982542851446 44.97246912393814, -93.24982542851446 44.97246912393815, -93.24982542851446 44.9735932743928, -93.24982542851446 44.97471742484746, -93.24823876493255 44.97471742484746, -93.24665210135068 44.97471742484746, -93.24665210135066 44.97471742484746, -93.24506543776877 44.97471742484746, -93.24347877418688 44.97471742484746, -93.24347877418688 44.9735932743928, -93.24347877418688 44.97246912393814, -93.24506543776877 44.97246912393814, -93.24665210135066 44.97246912393814, -93.24665210135066 44.97134497348349, -93.24665210135066 44.97022082302883, -93.24823876493255 44.97022082302883))"
