,0
20,"POLYGON ((-93.31646529895413 44.95897931848226, -93.31646529895414 44.95897931848226, -93.31646529895414 44.95897931848227, -93.31646529895414 44.9634759203009, -93.31646529895414 44.96347592030091, -93.31646529895413 44.96347592030091, -93.31329197179033 44.96347592030091, -93.31329197179032 44.96347592030091, -93.31011864462653 44.96347592030091, -93.31011864462651 44.96347592030091, -93.31011864462651 44.9634759203009, -93.31011864462651 44.95897931848227, -93.31011864462651 44.95897931848226, -93.31011864462653 44.95897931848226, -93.31329197179032 44.95897931848226, -93.31329197179033 44.95897931848226, -93.31646529895413 44.95897931848226))"
21,"POLYGON ((-93.31646529895413 44.99045553121262, -93.31646529895414 44.99045553121262, -93.31646529895414 44.99045553121263, -93.31646529895414 44.99495213303126, -93.31646529895414 44.99495213303127, -93.31646529895413 44.99495213303127, -93.31329197179033 44.99495213303127, -93.31329197179032 44.99495213303127, -93.31011864462653 44.99495213303127, -93.31011864462651 44.99495213303127, -93.31011864462651 44.99495213303126, -93.31011864462651 44.99045553121263, -93.31011864462651 44.99045553121262, -93.31011864462653 44.99045553121262, -93.31329197179032 44.99045553121262, -93.31329197179033 44.99045553121262, -93.31646529895413 44.99045553121262))"
22,"POLYGON ((-93.31646529895413 44.99495213303125, -93.31646529895414 44.99495213303125, -93.31646529895414 44.99495213303125, -93.31646529895414 44.99944873484989, -93.31646529895414 44.99944873484989, -93.31646529895413 44.99944873484989, -93.31329197179033 44.99944873484989, -93.31329197179032 44.99944873484989, -93.31011864462653 44.99944873484989, -93.31011864462651 44.99944873484989, -93.31011864462651 44.99944873484989, -93.31011864462651 44.99495213303125, -93.31011864462651 44.99495213303125, -93.31011864462653 44.99495213303125, -93.31329197179032 44.99495213303125, -93.31329197179033 44.99495213303125, -93.31646529895413 44.99495213303125))"
23,"POLYGON ((-93.31646529895413 44.99944873484987, -93.31646529895414 44.99944873484987, -93.31646529895414 44.99944873484988, -93.31646529895414 45.00394533666851, -93.31646529895414 45.00394533666852, -93.31646529895413 45.00394533666852, -93.31329197179033 45.00394533666852, -93.31329197179032 45.00394533666852, -93.31011864462653 45.00394533666852, -93.31011864462651 45.00394533666852, -93.31011864462651 45.00394533666851, -93.31011864462651 44.99944873484988, -93.31011864462651 44.99944873484987, -93.31011864462653 44.99944873484987, -93.31329197179032 44.99944873484987, -93.31329197179033 44.99944873484987, -93.31646529895413 44.99944873484987))"
24,"POLYGON ((-93.31646529895413 45.00394533666849, -93.31646529895414 45.00394533666849, -93.31646529895414 45.0039453366685, -93.31646529895414 45.00844193848713, -93.31646529895414 45.00844193848714, -93.31646529895413 45.00844193848714, -93.31329197179033 45.00844193848714, -93.31329197179032 45.00844193848714, -93.31011864462653 45.00844193848714, -93.31011864462651 45.00844193848714, -93.31011864462651 45.00844193848713, -93.31011864462651 45.0039453366685, -93.31011864462651 45.00394533666849, -93.31011864462653 45.00394533666849, -93.31329197179032 45.00394533666849, -93.31329197179033 45.00394533666849, -93.31646529895413 45.00394533666849))"
25,"POLYGON ((-93.31646529895413 45.00844193848712, -93.31646529895414 45.00844193848712, -93.31646529895414 45.00844193848712, -93.31646529895414 45.01293854030575, -93.31646529895414 45.01293854030576, -93.31646529895413 45.01293854030576, -93.31329197179033 45.01293854030576, -93.31329197179032 45.01293854030576, -93.31011864462653 45.01293854030576, -93.31011864462651 45.01293854030576, -93.31011864462651 45.01293854030575, -93.31011864462651 45.00844193848712, -93.31011864462651 45.00844193848712, -93.31011864462653 45.00844193848712, -93.31329197179032 45.00844193848712, -93.31329197179033 45.00844193848712, -93.31646529895413 45.00844193848712))"
26,"POLYGON ((-93.31646529895413 45.01293854030574, -93.31646529895414 45.01293854030574, -93.31646529895414 45.01293854030575, -93.31646529895414 45.01743514212438, -93.31646529895414 45.01743514212438, -93.31646529895413 45.01743514212438, -93.31329197179033 45.01743514212438, -93.31329197179032 45.01743514212438, -93.31011864462653 45.01743514212438, -93.31011864462651 45.01743514212438, -93.31011864462651 45.01743514212438, -93.31011864462651 45.01293854030575, -93.31011864462651 45.01293854030574, -93.31011864462653 45.01293854030574, -93.31329197179032 45.01293854030574, -93.31329197179033 45.01293854030574, -93.31646529895413 45.01293854030574))"
27,"POLYGON ((-93.31011864462654 44.90951669847741, -93.31011864462656 44.90951669847741, -93.31011864462656 44.90951669847742, -93.31011864462656 44.91401330029605, -93.31011864462656 44.91401330029606, -93.31011864462654 44.91401330029606, -93.30694531746275 44.91401330029606, -93.30694531746273 44.91401330029606, -93.30377199029894 44.91401330029606, -93.30377199029893 44.91401330029606, -93.30377199029893 44.91401330029605, -93.30377199029893 44.90951669847742, -93.30377199029893 44.90951669847741, -93.30377199029894 44.90951669847741, -93.30694531746273 44.90951669847741, -93.30694531746275 44.90951669847741, -93.31011864462654 44.90951669847741))"
28,"POLYGON ((-93.31011864462654 44.92300650393328, -93.31011864462656 44.92300650393328, -93.31011864462656 44.92300650393329, -93.31011864462656 44.92750310575192, -93.31011864462656 44.92750310575192, -93.31011864462654 44.92750310575192, -93.30694531746275 44.92750310575192, -93.30694531746273 44.92750310575192, -93.30377199029894 44.92750310575192, -93.30377199029893 44.92750310575192, -93.30377199029893 44.92750310575192, -93.30377199029893 44.92300650393329, -93.30377199029893 44.92300650393328, -93.30377199029894 44.92300650393328, -93.30694531746273 44.92300650393328, -93.30694531746275 44.92300650393328, -93.31011864462654 44.92300650393328))"
29,"POLYGON ((-93.31011864462654 44.94099291120777, -93.31011864462656 44.94099291120777, -93.31011864462656 44.94099291120778, -93.31011864462656 44.94548951302641, -93.31011864462656 44.94548951302642, -93.31011864462654 44.94548951302642, -93.30694531746275 44.94548951302642, -93.30694531746273 44.94548951302642, -93.30377199029894 44.94548951302642, -93.30377199029893 44.94548951302642, -93.30377199029893 44.94548951302641, -93.30377199029893 44.94099291120778, -93.30377199029893 44.94099291120777, -93.30377199029894 44.94099291120777, -93.30694531746273 44.94099291120777, -93.30694531746275 44.94099291120777, -93.31011864462654 44.94099291120777))"
